,rent_cost,Area_m2,rooms,Dictrict_8,Dishwasher,Shower_cabin,Bathroom_combined_3,Distance_from_Cremlin,Bathroom_combined_2,Repair_disigne,Ceiling_height_m,Bathroom_combined_4,Parking_underground,Air_conditioner,Repair_cosmetic,House_panel,Bathroom_separate_3,ulitsa_dvor,Bathroom_combined_1,Bathroom_separate_4,House_monolithic_brick,Telephone,House_noun,dvor,Bathroom_combined_0,Television,Parking_paid_yard,House_monolithic,Bathroom_separate_2,Dictrict_1,Dictrict_10,House_block,Pass_lift_1,You_can_with_animals,Dictrict_2,Dictrict_6,Bathroom_separate_1,House_oldfond,Dictrict_9,Loggia_1
11192,55000.0,39.0,1.0,0,True,False,0,9.64,0,0,2.7,0,0,True,0,0,0,0,1,0,0,False,0,1,0,True,0,0,0,0,0,0,0,False,0,0,0,0,0,1
11193,55000.0,53.0,1.0,0,False,True,0,10.09,0,1,2.99,0,0,True,0,1,0,0,1,0,0,False,0,0,0,True,0,0,0,0,0,0,0,False,0,0,0,0,0,1
11194,55000.0,54.0,2.0,0,False,False,0,9.94,0,0,2.99,0,0,False,1,0,0,0,1,0,0,False,0,1,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
11195,57000.0,57.5,2.0,0,False,False,0,10.01,0,0,2.7,0,0,False,0,0,0,1,0,0,1,False,0,0,1,True,0,0,0,0,0,0,0,False,1,0,1,0,0,0
11196,58000.0,79.0,3.0,0,False,False,0,10.42,0,0,2.64,0,0,False,1,1,0,0,0,0,0,False,0,1,1,False,0,0,0,0,0,0,0,True,0,0,1,0,0,0
11197,58000.0,58.0,2.0,0,False,False,0,10.02,0,0,2.99,0,0,False,0,0,0,0,0,0,0,True,0,1,1,False,1,0,0,0,0,0,1,False,1,0,1,0,0,0
11198,58000.0,60.0,2.0,0,False,False,0,8.93,0,0,3.0,0,0,True,1,0,0,0,0,0,0,False,0,1,1,True,1,0,0,0,0,0,1,False,0,0,1,0,0,0
11199,60000.0,59.0,2.0,0,True,False,0,9.94,0,0,2.99,0,0,False,1,0,0,0,0,0,0,False,0,1,1,False,0,0,0,0,0,0,1,False,1,0,1,0,0,0
11200,60000.0,55.0,2.0,0,False,False,0,10.2,0,0,2.99,0,0,True,1,1,0,0,1,0,0,False,0,1,0,True,0,0,0,0,0,0,0,False,0,0,0,0,0,0
11201,60000.0,56.0,2.0,0,False,False,0,10.18,0,0,2.99,0,0,True,0,0,0,0,1,0,0,False,0,0,0,True,0,0,0,0,0,0,1,False,1,0,0,0,0,0
11202,65000.0,80.0,3.0,0,False,False,0,9.39,0,0,2.99,0,0,False,1,0,0,0,0,0,0,False,0,0,1,True,0,0,0,0,0,0,1,False,0,0,1,0,0,0
11203,65000.0,65.0,3.0,0,False,False,0,9.39,0,0,2.99,0,0,False,1,0,0,0,1,0,0,False,0,0,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
11204,65000.0,80.0,3.0,0,False,False,0,9.39,0,0,2.99,0,0,False,1,0,0,0,0,0,0,False,0,1,1,False,1,0,0,0,0,0,1,False,0,0,1,0,0,0
11205,65000.0,70.0,3.0,0,False,False,0,10.2,0,0,2.99,0,0,False,0,0,0,0,1,0,0,False,1,1,0,True,0,0,0,0,0,0,1,False,1,0,0,0,0,0
11206,65000.0,80.0,3.0,0,False,False,0,9.39,0,0,2.99,0,0,False,1,0,0,0,0,0,0,False,0,0,1,True,0,0,0,0,0,0,1,False,0,0,1,0,0,0
11207,65000.0,80.0,3.0,0,False,False,0,9.39,0,0,2.99,0,0,False,0,0,0,0,1,0,0,False,0,0,0,False,0,0,0,0,0,0,1,False,0,0,0,0,0,0
11208,65000.0,57.0,2.0,0,False,False,0,10.17,0,0,2.99,0,0,False,0,0,0,0,0,0,0,False,0,0,1,False,0,0,0,0,0,0,0,True,1,0,1,0,0,0
11209,65000.0,55.0,2.0,0,False,False,0,10.18,0,0,2.99,0,0,False,0,0,0,0,0,0,0,False,0,0,1,False,0,0,0,0,0,0,1,False,1,0,1,0,0,0
11210,65000.0,58.0,2.0,0,False,False,0,9.02,0,0,2.99,0,0,False,0,0,0,0,0,0,0,False,0,1,1,True,0,1,0,0,0,0,0,False,0,0,1,0,0,1
